,Andorra,Argentina,Aruba,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam
2022-05-11 00:00:00,0.0,0.0,369.0,0.0,4680.0,31.0,644.0,264.0,6603.0,0.0,0.0,77.0,30.0,9709.0,422.0,0.0,5085.0,0.0,1853.0,57553.0,0.0,0.0,0.0,440.0,53.0,344.0,0.0,904.0,0.0,1003.0,79.0,17.0,0.0,0.0,196.0,3921.0,48584.0,745.0,94912.0,13.0,0.0,7115.0,0.0,0.0,0.0,57.0,3.0,486.0,6748.0,123.0,2897.0,400.0,460.0,463.0,2254.0,56199.0,107.0,45740.0,0.0,346.0,68.0,0.0,237.0,16.0,108.0,0.0,1060.0,0.0,20.0,108.0,83.0,11.0,1592.0,0.0,9380.0,0.0,291.0,1359.0,0.0,293.0,109.0,566.0,22808.0,7603.0,161.0,812.0,4102.0,0.0,42.0,569.0,466.0,3890.0,443.0,675.0,7523.0,35864.0,25011.0,17.0,8.0,366.0,1967.0,7650.0,1858.0,0.0,280.0,10704.0,100982.0,0.0,15.0,2758.0
2022-05-12 00:00:00,0.0,0.0,0.0,0.0,5893.0,24.0,728.0,598.0,4920.0,0.0,0.0,125.0,47.0,20143.0,359.0,23.0,7218.0,1.0,3295.0,65881.0,0.0,0.0,8874.0,960.0,96.0,0.0,0.0,716.0,0.0,850.0,102.0,0.0,0.0,0.0,185.0,2528.0,40287.0,0.0,77219.0,9.0,0.0,5226.0,0.0,0.0,0.0,703.0,42.0,11.0,0.0,130.0,2827.0,335.0,453.0,2773.0,2094.0,42683.0,110.0,42378.0,0.0,198.0,77.0,1.0,235.0,506.0,100.0,0.0,489.0,0.0,16.0,60.0,89.0,10.0,1403.0,0.0,7519.0,34.0,307.0,3307.0,0.0,264.0,139.0,500.0,27373.0,6193.0,162.0,705.0,4065.0,0.0,38.0,642.0,438.0,3645.0,350.0,613.0,10017.0,32451.0,22400.0,18.0,5.0,370.0,1846.0,6019.0,1670.0,0.0,312.0,9748.0,100249.0,0.0,36.0,6499.0
2022-05-13 00:00:00,439.0,0.0,0.0,0.0,5001.0,27.0,0.0,513.0,4213.0,0.0,263.0,165.0,43.0,23398.0,332.0,0.0,3173.0,1.0,4575.0,65326.0,0.0,0.0,0.0,637.0,110.0,0.0,2422.0,643.0,0.0,742.0,72.0,246.0,0.0,0.0,110.0,2383.0,31824.0,0.0,65048.0,8.0,133.0,5268.0,0.0,0.0,0.0,458.0,56.0,14.0,0.0,115.0,2841.0,335.0,371.0,2299.0,2043.0,39483.0,160.0,38439.0,0.0,229.0,80.0,1.0,169.0,869.0,111.0,3298.0,1124.0,0.0,14.0,72.0,97.0,19.0,1448.0,0.0,7041.0,0.0,277.0,3324.0,0.0,462.0,179.0,469.0,27804.0,5796.0,158.0,602.0,4896.0,0.0,27.0,611.0,426.0,4291.0,251.0,589.0,8920.0,29541.0,21219.0,23.0,2.0,307.0,1708.0,9779.0,1778.0,0.0,364.0,8725.0,127795.0,0.0,40.0,2670.0
2022-05-14 00:00:00,0.0,0.0,0.0,0.0,4724.0,21.0,0.0,471.0,3710.0,0.0,0.0,0.0,36.0,21344.0,313.0,0.0,2989.0,0.0,4871.0,64346.0,1671.0,0.0,0.0,726.0,77.0,0.0,0.0,574.0,0.0,765.0,63.0,327.0,0.0,0.0,198.0,2082.0,30100.0,0.0,56974.0,11.0,0.0,4827.0,0.0,2576.0,0.0,502.0,52.0,0.0,0.0,88.0,2858.0,308.0,385.0,3144.0,2044.0,39029.0,276.0,39416.0,0.0,221.0,62.0,0.0,185.0,613.0,86.0,0.0,1024.0,0.0,8.0,82.0,73.0,15.0,1278.0,0.0,5806.0,23.0,291.0,3514.0,0.0,360.0,171.0,434.0,29455.0,5396.0,123.0,588.0,5047.0,65.0,28.0,559.0,445.0,3383.0,335.0,560.0,8349.0,25434.0,19532.0,8.0,0.0,228.0,1545.0,6736.0,1534.0,0.0,369.0,7642.0,98705.0,0.0,50.0,1895.0
2022-05-15 00:00:00,0.0,33989.0,0.0,350375.0,3681.0,20.0,1868.0,407.0,3231.0,0.0,0.0,0.0,46.0,25609.0,153.0,0.0,2932.0,2.0,4928.0,68993.0,0.0,0.0,0.0,543.0,103.0,0.0,0.0,172.0,0.0,427.0,76.0,380.0,0.0,0.0,86.0,1843.0,30459.0,0.0,20103.0,4.0,0.0,4731.0,0.0,0.0,151.0,662.0,36.0,57.0,0.0,54.0,2487.0,257.0,255.0,2680.0,1485.0,36334.0,336.0,34845.0,0.0,73.0,94.0,2.0,35.0,438.0,62.0,0.0,985.0,0.0,6.0,59.0,81.0,8.0,1159.0,0.0,11242.0,0.0,86.0,3248.0,0.0,355.0,203.0,139.0,24268.0,5148.0,96.0,520.0,4956.0,0.0,10.0,434.0,327.0,2651.0,179.0,237.0,8015.0,13251.0,18640.0,8.0,13.0,101.0,937.0,6094.0,1407.0,0.0,352.0,6942.0,117953.0,5538.0,31.0,1594.0
2022-05-16 00:00:00,0.0,0.0,0.0,0.0,3293.0,63.0,655.0,416.0,1482.0,60.0,0.0,0.0,12.0,17355.0,126.0,0.0,6264.0,0.0,4626.0,62011.0,0.0,0.0,0.0,42.0,93.0,0.0,0.0,83.0,403.0,488.0,142.0,269.0,35.0,0.0,108.0,805.0,17301.0,0.0,9635.0,5.0,0.0,3543.0,0.0,0.0,0.0,555.0,32.0,0.0,0.0,71.0,2202.0,182.0,368.0,892.0,2405.0,27726.0,298.0,26334.0,305.0,45.0,78.0,0.0,21.0,246.0,64.0,0.0,397.0,326.0,2.0,66.0,89.0,5.0,1002.0,13.0,9908.0,0.0,63.0,3054.0,0.0,403.0,158.0,95.0,19197.0,2459.0,145.0,282.0,4543.0,0.0,1.0,431.0,239.0,2123.0,49.0,135.0,4344.0,35080.0,7540.0,7.0,10.0,87.0,696.0,5238.0,1154.0,2841.0,323.0,6120.0,29099.0,0.0,55.0,1550.0
2022-05-17 00:00:00,0.0,0.0,0.0,0.0,2477.0,23.0,603.0,310.0,743.0,0.0,0.0,401.0,10.0,6296.0,362.0,0.0,2249.0,2.0,3816.0,65965.0,0.0,0.0,0.0,345.0,72.0,0.0,0.0,637.0,14.0,570.0,107.0,197.0,0.0,0.0,216.0,831.0,5936.0,0.0,65655.0,2.0,0.0,311.0,0.0,0.0,0.0,71.0,45.0,0.0,0.0,152.0,1569.0,247.0,383.0,188.0,2528.0,13776.0,295.0,33734.0,0.0,304.0,40.0,0.0,285.0,16.0,110.0,0.0,335.0,0.0,34.0,42.0,54.0,5.0,832.0,452.0,5284.0,30.0,397.0,2166.0,0.0,504.0,110.0,512.0,9086.0,923.0,164.0,322.0,4122.0,0.0,46.0,630.0,404.0,2664.0,262.0,742.0,2952.0,31327.0,6335.0,11.0,6.0,216.0,1939.0,3893.0,1254.0,0.0,319.0,7973.0,46227.0,0.0,44.0,1785.0
2022-05-18 00:00:00,0.0,0.0,586.0,0.0,3247.0,32.0,593.0,324.0,4418.0,0.0,91.0,112.0,27.0,13510.0,457.0,0.0,4061.0,0.0,2475.0,84737.0,0.0,0.0,0.0,406.0,46.0,475.0,0.0,598.0,50.0,803.0,130.0,44.0,0.0,0.0,160.0,2739.0,43624.0,602.0,68107.0,1.0,0.0,10046.0,0.0,0.0,0.0,88.0,12.0,0.0,4749.0,103.0,1829.0,327.0,352.0,663.0,2312.0,44901.0,0.0,41527.0,0.0,164.0,50.0,0.0,205.0,436.0,76.0,0.0,1412.0,0.0,5.0,95.0,135.0,16.0,1263.0,0.0,9098.0,0.0,45.0,1799.0,0.0,409.0,103.0,388.0,38409.0,7923.0,134.0,681.0,4732.0,0.0,16.0,621.0,382.0,6442.0,253.0,543.0,5096.0,28113.0,19589.0,31.0,8.0,296.0,1476.0,5633.0,1608.0,0.0,281.0,9420.0,123395.0,0.0,39.0,1831.0
2022-05-19 00:00:00,416.0,0.0,0.0,0.0,4376.0,22.0,562.0,469.0,3257.0,0.0,0.0,129.0,42.0,26386.0,275.0,26.0,5608.0,0.0,5137.0,90656.0,0.0,0.0,11369.0,773.0,62.0,0.0,0.0,425.0,25.0,744.0,163.0,33.0,0.0,0.0,184.0,2040.0,29995.0,0.0,53845.0,5.0,0.0,5120.0,0.0,0.0,87.0,689.0,65.0,324.0,0.0,146.0,2364.0,318.0,288.0,404.0,2181.0,30927.0,341.0,38812.0,0.0,229.0,108.0,0.0,184.0,432.0,85.0,0.0,1322.0,0.0,10.0,73.0,116.0,20.0,1198.0,0.0,7812.0,35.0,371.0,3910.0,0.0,388.0,195.0,359.0,34172.0,5706.0,126.0,513.0,4927.0,0.0,18.0,602.0,361.0,4578.0,262.0,408.0,8179.0,25105.0,19104.0,15.0,6.0,475.0,1426.0,6305.0,1443.0,0.0,298.0,8286.0,129614.0,0.0,60.0,2728.0
2022-05-20 00:00:00,0.0,0.0,0.0,0.0,3363.0,0.0,522.0,403.0,2761.0,0.0,216.0,135.0,29.0,13525.0,262.0,0.0,2516.0,0.0,6939.0,86063.0,0.0,0.0,0.0,468.0,61.0,0.0,2103.0,434.0,85.0,664.0,90.0,294.0,0.0,0.0,129.0,1945.0,22962.0,0.0,44269.0,13.0,144.0,4381.0,0.0,0.0,0.0,794.0,94.0,0.0,0.0,107.0,2259.0,250.0,280.0,792.0,1959.0,30722.0,288.0,39001.0,0.0,121.0,81.0,1.0,144.0,331.0,69.0,4871.0,1420.0,0.0,12.0,77.0,124.0,7.0,1448.0,0.0,6703.0,0.0,285.0,3506.0,0.0,518.0,210.0,315.0,32798.0,5544.0,121.0,467.0,5089.0,0.0,21.0,545.0,334.0,4342.0,214.0,417.0,7238.0,23462.0,17618.0,6.0,4.0,412.0,1269.0,6463.0,1485.0,0.0,349.0,7636.0,146420.0,0.0,30.0,1587.0
